,value,percentage,datetime,tipo_energia,comunidad,id_comunidad
217,602.322,1.0,2011-08-06T00:00:00.000+02:00,No renovable,Ceuta,8744
218,565.779,1.0,2011-08-07T00:00:00.000+02:00,No renovable,Ceuta,8744
219,642.984,1.0,2011-08-08T00:00:00.000+02:00,No renovable,Ceuta,8744
220,558.457,1.0,2011-08-09T00:00:00.000+02:00,No renovable,Ceuta,8744
221,636.565,1.0,2011-08-10T00:00:00.000+02:00,No renovable,Ceuta,8744
222,623.052,1.0,2011-08-11T00:00:00.000+02:00,No renovable,Ceuta,8744
223,607.467,1.0,2011-08-12T00:00:00.000+02:00,No renovable,Ceuta,8744
224,542.82,1.0,2011-08-13T00:00:00.000+02:00,No renovable,Ceuta,8744
225,511.493,1.0,2011-08-14T00:00:00.000+02:00,No renovable,Ceuta,8744
226,526.692,1.0,2011-08-15T00:00:00.000+02:00,No renovable,Ceuta,8744
227,625.283,1.0,2011-08-16T00:00:00.000+02:00,No renovable,Ceuta,8744
228,632.905,1.0,2011-08-17T00:00:00.000+02:00,No renovable,Ceuta,8744
229,625.04,1.0,2011-08-18T00:00:00.000+02:00,No renovable,Ceuta,8744
230,628.96,1.0,2011-08-19T00:00:00.000+02:00,No renovable,Ceuta,8744
231,576.176,1.0,2011-08-20T00:00:00.000+02:00,No renovable,Ceuta,8744
232,517.283,1.0,2011-08-21T00:00:00.000+02:00,No renovable,Ceuta,8744
233,603.352,1.0,2011-08-22T00:00:00.000+02:00,No renovable,Ceuta,8744
234,613.128,1.0,2011-08-23T00:00:00.000+02:00,No renovable,Ceuta,8744
235,607.434,1.0,2011-08-24T00:00:00.000+02:00,No renovable,Ceuta,8744
236,610.751,1.0,2011-08-25T00:00:00.000+02:00,No renovable,Ceuta,8744
237,606.202,1.0,2011-08-26T00:00:00.000+02:00,No renovable,Ceuta,8744
238,555.903,1.0,2011-08-27T00:00:00.000+02:00,No renovable,Ceuta,8744
239,534.218,1.0,2011-08-28T00:00:00.000+02:00,No renovable,Ceuta,8744
240,630.706,1.0,2011-08-29T00:00:00.000+02:00,No renovable,Ceuta,8744
241,601.41,1.0,2011-08-30T00:00:00.000+02:00,No renovable,Ceuta,8744
242,564.938,1.0,2011-08-31T00:00:00.000+02:00,No renovable,Ceuta,8744
243,579.435,1.0,2011-09-01T00:00:00.000+02:00,No renovable,Ceuta,8744
244,553.392,1.0,2011-09-02T00:00:00.000+02:00,No renovable,Ceuta,8744
245,503.976,1.0,2011-09-03T00:00:00.000+02:00,No renovable,Ceuta,8744
246,480.823,1.0,2011-09-04T00:00:00.000+02:00,No renovable,Ceuta,8744
247,585.76,1.0,2011-09-05T00:00:00.000+02:00,No renovable,Ceuta,8744
248,599.836,1.0,2011-09-06T00:00:00.000+02:00,No renovable,Ceuta,8744
249,605.682,1.0,2011-09-07T00:00:00.000+02:00,No renovable,Ceuta,8744
250,601.902,1.0,2011-09-08T00:00:00.000+02:00,No renovable,Ceuta,8744
251,591.899,1.0,2011-09-09T00:00:00.000+02:00,No renovable,Ceuta,8744
252,528.397,1.0,2011-09-10T00:00:00.000+02:00,No renovable,Ceuta,8744
253,486.967,1.0,2011-09-11T00:00:00.000+02:00,No renovable,Ceuta,8744
254,603.253,1.0,2011-09-12T00:00:00.000+02:00,No renovable,Ceuta,8744
255,617.319,1.0,2011-09-13T00:00:00.000+02:00,No renovable,Ceuta,8744
256,600.195,1.0,2011-09-14T00:00:00.000+02:00,No renovable,Ceuta,8744
257,593.102,1.0,2011-09-15T00:00:00.000+02:00,No renovable,Ceuta,8744
258,578.246,1.0,2011-09-16T00:00:00.000+02:00,No renovable,Ceuta,8744
259,508.928,1.0,2011-09-17T00:00:00.000+02:00,No renovable,Ceuta,8744
260,463.918,1.0,2011-09-18T00:00:00.000+02:00,No renovable,Ceuta,8744
261,569.119,1.0,2011-09-19T00:00:00.000+02:00,No renovable,Ceuta,8744
262,580.878,1.0,2011-09-20T00:00:00.000+02:00,No renovable,Ceuta,8744
263,567.245,1.0,2011-09-21T00:00:00.000+02:00,No renovable,Ceuta,8744
264,566.819,1.0,2011-09-22T00:00:00.000+02:00,No renovable,Ceuta,8744
265,540.016,1.0,2011-09-23T00:00:00.000+02:00,No renovable,Ceuta,8744
266,480.841,1.0,2011-09-24T00:00:00.000+02:00,No renovable,Ceuta,8744
267,446.804,1.0,2011-09-25T00:00:00.000+02:00,No renovable,Ceuta,8744
268,561.275,1.0,2011-09-26T00:00:00.000+02:00,No renovable,Ceuta,8744
269,573.74,1.0,2011-09-27T00:00:00.000+02:00,No renovable,Ceuta,8744
270,559.192,1.0,2011-09-28T00:00:00.000+02:00,No renovable,Ceuta,8744
271,574.973,1.0,2011-09-29T00:00:00.000+02:00,No renovable,Ceuta,8744
272,584.73,1.0,2011-09-30T00:00:00.000+02:00,No renovable,Ceuta,8744
273,548.697,1.0,2011-10-01T00:00:00.000+02:00,No renovable,Ceuta,8744
274,517.582,1.0,2011-10-02T00:00:00.000+02:00,No renovable,Ceuta,8744
275,614.577,1.0,2011-10-03T00:00:00.000+02:00,No renovable,Ceuta,8744
276,623.472,1.0,2011-10-04T00:00:00.000+02:00,No renovable,Ceuta,8744
277,619.996,1.0,2011-10-05T00:00:00.000+02:00,No renovable,Ceuta,8744
278,619.686,1.0,2011-10-06T00:00:00.000+02:00,No renovable,Ceuta,8744
279,594.415,1.0,2011-10-07T00:00:00.000+02:00,No renovable,Ceuta,8744
280,551.825,1.0,2011-10-08T00:00:00.000+02:00,No renovable,Ceuta,8744
281,506.755,1.0,2011-10-09T00:00:00.000+02:00,No renovable,Ceuta,8744
282,587.143,1.0,2011-10-10T00:00:00.000+02:00,No renovable,Ceuta,8744
283,608.736,1.0,2011-10-11T00:00:00.000+02:00,No renovable,Ceuta,8744
284,520.071,1.0,2011-10-12T00:00:00.000+02:00,No renovable,Ceuta,8744
285,606.202,1.0,2011-10-13T00:00:00.000+02:00,No renovable,Ceuta,8744
286,588.585,1.0,2011-10-14T00:00:00.000+02:00,No renovable,Ceuta,8744
287,550.615,1.0,2011-10-15T00:00:00.000+02:00,No renovable,Ceuta,8744
288,499.592,1.0,2011-10-16T00:00:00.000+02:00,No renovable,Ceuta,8744
289,597.24,1.0,2011-10-17T00:00:00.000+02:00,No renovable,Ceuta,8744
290,597.33,1.0,2011-10-18T00:00:00.000+02:00,No renovable,Ceuta,8744
291,602.245,1.0,2011-10-19T00:00:00.000+02:00,No renovable,Ceuta,8744
292,576.46,1.0,2011-10-20T00:00:00.000+02:00,No renovable,Ceuta,8744
293,600.165,1.0,2011-10-21T00:00:00.000+02:00,No renovable,Ceuta,8744
294,547.578,1.0,2011-10-22T00:00:00.000+02:00,No renovable,Ceuta,8744
295,509.226,1.0,2011-10-23T00:00:00.000+02:00,No renovable,Ceuta,8744
296,593.326,1.0,2011-10-24T00:00:00.000+02:00,No renovable,Ceuta,8744
297,589.342,1.0,2011-10-25T00:00:00.000+02:00,No renovable,Ceuta,8744
298,585.766,1.0,2011-10-26T00:00:00.000+02:00,No renovable,Ceuta,8744
299,569.896,1.0,2011-10-27T00:00:00.000+02:00,No renovable,Ceuta,8744
300,570.592,1.0,2011-10-28T00:00:00.000+02:00,No renovable,Ceuta,8744
301,529.744,1.0,2011-10-29T00:00:00.000+02:00,No renovable,Ceuta,8744
302,519.873,1.0,2011-10-30T00:00:00.000+02:00,No renovable,Ceuta,8744
303,576.813,1.0,2011-10-31T00:00:00.000+01:00,No renovable,Ceuta,8744
304,498.03,1.0,2011-11-01T00:00:00.000+01:00,No renovable,Ceuta,8744
305,585.61,1.0,2011-11-02T00:00:00.000+01:00,No renovable,Ceuta,8744
